Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
243,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-182,2003,27,26,"2,223",24.7,3,2,5,3,0,0,5,0,2.3,2.3,2.5,4.8,71,69,131
244,Rasmus Højlund,dk DEN,FW,Manchester Utd,22-085,2003,29,20,"1,744",19.4,4,0,4,4,0,0,2,0,3.8,3.8,1.3,5.1,26,16,83
245,Igor,br BRA,DF,Brighton,27-082,1998,12,9,903,10,0,0,0,0,0,0,4,0,0,0,0.2,0.2,9,44,0
246,Danny Ings,eng ENG,"FW,MF",West Ham,32-281,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29
247,Tim Iroegbunam,eng ENG,MF,Everton,21-304,2003,16,5,566,6.3,0,1,1,0,0,0,4,0,0.2,0.2,0.2,0.4,8,14,9
248,Andy Irving,sct SCO,MF,West Ham,24-352,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4
249,Alexander Isak,se SWE,FW,Newcastle Utd,25-221,1999,31,31,"2,487",27.6,22,6,28,19,3,3,1,0,19,16.6,4,20.7,77,77,196
250,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-362,1996,34,32,"2,721",30.2,9,6,15,9,0,0,1,0,4.5,4.5,6.5,11,132,196,221
251,Nicolas Jackson,sn SEN,FW,Chelsea,23-314,2001,28,26,"2,114",23.5,10,5,15,10,0,0,7,0,12.2,12.2,4.3,16.5,46,37,125
252,Reece James,eng ENG,"DF,MF",Chelsea,25-143,1999,15,10,835,9.3,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,51,9
253,Vitaly Janelt,de GER,MF,Brentford,26-355,1998,32,27,"2,254",25,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3,17,80,38
254,Vitezslav Jaros,cz CZE,GK,Liverpool,23-281,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Daniel Jebbison,eng ENG,FW,Bournemouth,21-260,2003,12,0,76,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,3,11
256,Mathias Jensen,dk DEN,MF,Brentford,29-119,1996,19,8,770,8.6,0,2,2,0,0,0,2,0,0.2,0.2,1.6,1.8,6,55,26
257,Gabriel Jesus,br BRA,FW,Arsenal,28-027,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3,3,0.7,3.7,15,19,57
258,Raúl Jiménez,mx MEX,FW,Fulham,33-360,1991,34,26,"2,134",23.7,10,3,13,7,3,3,4,0,11.2,8.8,2.9,11.7,32,55,117
259,Kim Jisoo,kr KOR,DF,Brentford,20-127,2004,3,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
260,João Pedro,br BRA,"FW,MF",Brighton,23-216,2001,27,23,"1,948",21.6,10,6,16,5,5,5,4,1,8.9,5,5,10,66,78,128
261,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-259,1996,29,29,"2,393",26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110
262,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-096,2000,22,14,"1,348",15,1,2,3,1,0,0,5,1,1.1,1.1,1.3,2.3,16,26,33
263,Brennan Johnson,wls WAL,FW,Tottenham,23-342,2001,31,23,"2,083",23.1,11,3,14,11,0,0,5,0,9.8,9.8,2.3,12.1,57,70,194
264,Sam Johnstone,eng ENG,GK,Wolves,32-036,1993,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Curtis Jones,eng ENG,"MF,DF",Liverpool,24-090,2001,29,16,"1,438",16,3,3,6,3,0,0,3,1,4.1,4.1,1,5.1,23,85,67
266,Jorginho,it ITA,MF,Arsenal,33-131,1991,14,9,703,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6
267,Diogo Jota,pt POR,FW,Liverpool,28-147,1996,23,13,"1,097",12.2,6,3,9,6,0,0,2,0,7.3,7.3,1.8,9.2,36,33,86
268,James Justin,eng ENG,DF,Leicester City,27-066,1998,32,30,"2,579",28.7,2,1,3,2,0,0,5,0,1.5,1.5,0.6,2.1,37,86,92
269,Filip Jørgensen,dk DEN,GK,Chelsea,23-014,2002,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-205,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27
271,Daichi Kamada,jp JPN,MF,Crystal Palace,28-268,1996,30,13,"1,338",14.9,0,0,0,0,0,0,3,1,1,1,1.8,2.8,23,73,52
272,Boubacar Kamara,fr FRA,MF,Aston Villa,25-158,1999,22,16,"1,373",15.3,0,0,0,0,0,0,2,0,0.4,0.4,0.9,1.3,16,72,5
273,Michael Kayode,it ITA,DF,Brentford,20-294,2004,7,1,128,1.4,0,0,0,0,0,0,1,0,0,0,0.2,0.2,3,2,10
274,Michael Keane,eng ENG,DF,Everton,32-109,1993,11,9,852,9.5,2,0,2,2,0,0,5,0,0.4,0.4,0.1,0.5,1,12,3
275,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-158,1998,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-206,1998,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5
277,Milos Kerkez,hu HUN,DF,Bournemouth,21-174,2003,34,34,"2,987",33.2,2,5,7,2,0,0,4,0,0.5,0.5,3.4,3.9,93,143,163
278,Bilal El Khannouss,ma MAR,MF,Leicester City,20-355,2004,29,24,"1,920",21.3,2,2,4,2,0,0,4,0,0.9,0.9,3.2,4.1,61,118,77
279,Abdukodir Khusanov,uz UZB,DF,Manchester City,21-060,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,25,2
280,Max Kilman,eng ENG,DF,West Ham,27-342,1997,34,34,"2,988",33.2,0,1,1,0,0,0,4,0,1.4,1.4,1.2,2.6,29,106,6
281,Joshua King,eng ENG,"MF,FW",Fulham,18-117,2007,5,1,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,1,4,9
282,Antonín Kinský,cz CZE,GK,Tottenham,22-048,2003,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,0
283,Jakub Kiwior,pl POL,DF,Arsenal,25-074,2000,13,6,762,8.5,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.4,5,35,0
284,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-360,1999,30,26,"2,097",23.3,12,6,18,6,6,6,8,0,9.9,5.2,4.8,10,72,95,146
285,Ibrahima Konaté,fr FRA,DF,Liverpool,25-340,1999,28,27,"2,320",25.8,1,2,3,1,0,0,5,0,1.7,1.7,1,2.7,21,103,3
286,Ezri Konsa,eng ENG,DF,Aston Villa,27-189,1997,30,29,"2,576",28.6,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,16,73,11
287,Mateo Kovačić,hr CRO,MF,Manchester City,30-359,1994,28,22,"1,960",21.8,6,1,7,6,0,0,5,0,1.7,1.7,3.5,5.2,51,142,15
288,Caleb Kporha,eng ENG,DF,Crystal Palace,18-289,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
289,Emil Krafth,se SWE,DF,Newcastle Utd,30-271,1994,9,2,288,3.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,7,1
290,Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-271,2000,28,28,"2,331",25.9,4,2,6,4,0,0,1,1,6.5,6.5,2.3,8.8,88,74,194
291,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,25-005,2000,30,25,"2,281",25.3,7,4,11,7,0,0,3,0,4.2,4.2,6.1,10.3,118,122,207
292,Maxence Lacroix,fr FRA,DF,Crystal Palace,25-024,2000,31,31,"2,756",30.6,1,1,2,1,0,0,5,0,2.8,2.8,0.8,3.6,8,59,7
293,Adam Lallana,eng ENG,MF,Southampton,36-355,1988,14,5,361,4,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10
294,Tariq Lamptey,gh GHA,DF,Brighton,24-212,2000,13,9,765,8.5,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,25,12,40
295,Will Lankshear,eng ENG,"FW,MF",Tottenham,20-010,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
296,Roméo Lavia,be BEL,MF,Chelsea,21-114,2004,12,9,607,6.7,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,23,6
